TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Applications                                                                                                                     ApplicationId                                                                                                                    int                                                                                                                             
Applications                                                                                                                     UserId                                                                                                                           int                                                                                                                             
Applications                                                                                                                     JobId                                                                                                                            int                                                                                                                             
Applications                                                                                                                     ResumeId                                                                                                                         int                                                                                                                             
Applications                                                                                                                     ResumeSnapshot                                                                                                                   nvarchar                                                                                                                        
Applications                                                                                                                     CoverLetter                                                                                                                      nvarchar                                                                                                                        
Applications                                                                                                                     Status                                                                                                                           nvarchar                                                                                                                        
Applications                                                                                                                     AppliedDate                                                                                                                      datetime2                                                                                                                       
Applications                                                                                                                     UpdatedAt                                                                                                                        datetime2                                                                                                                       
CandidateSkills                                                                                                                  CandidateSkillId                                                                                                                 int                                                                                                                             
CandidateSkills                                                                                                                  UserId                                                                                                                           int                                                                                                                             
CandidateSkills                                                                                                                  SkillId                                                                                                                          int                                                                                                                             
CandidateSkills                                                                                                                  ProficiencyLevel                                                                                                                 nvarchar                                                                                                                        
CandidateSkills                                                                                                                  YearsExperience                                                                                                                  int                                                                                                                             
Certificates                                                                                                                     CertificateId                                                                                                                    int                                                                                                                             
Certificates                                                                                                                     UserId                                                                                                                           int                                                                                                                             
Certificates                                                                                                                     CertName                                                                                                                         nvarchar                                                                                                                        
Certificates                                                                                                                     IssuingOrg                                                                                                                       nvarchar                                                                                                                        
Certificates                                                                                                                     IssueDate                                                                                                                        date                                                                                                                            
Certificates                                                                                                                     ExpiryDate                                                                                                                       date                                                                                                                            
Certificates                                                                                                                     CertificateUrl                                                                                                                   nvarchar                                                                                                                        
Certificates                                                                                                                     CredentialId                                                                                                                     nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  CompanyId                                                                                                                        int                                                                                                                             
CompanyProfiles                                                                                                                  UserId                                                                                                                           int                                                                                                                             
CompanyProfiles                                                                                                                  CompanyName                                                                                                                      nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  Industry                                                                                                                         nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  CompanySize                                                                                                                      nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  Website                                                                                                                          nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  Location                                                                                                                         nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  Description                                                                                                                      nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  LogoUrl                                                                                                                          nvarchar                                                                                                                        
CompanyProfiles                                                                                                                  IsVerified                                                                                                                       bit                                                                                                                             
CompanyProfiles                                                                                                                  CreatedAt                                                                                                                        datetime2                                                                                                                       
CompanyProfiles                                                                                                                  UpdatedAt                                                                                                                        datetime2                                                                                                                       
Complaints                                                                                                                       ComplaintId                                                                                                                      int                                                                                                                             
Complaints                                                                                                                       SubmittedByUserId                                                                                                                int                                                                                                                             
Complaints                                                                                                                       AgainstUserId                                                                                                                    int                                                                                                                             
Complaints                                                                                                                       Subject                                                                                                                          nvarchar                                                                                                                        
Complaints                                                                                                                       Description                                                                                                                      nvarchar                                                                                                                        
Complaints                                                                                                                       Status                                                                                                                           nvarchar                                                                                                                        
Complaints                                                                                                                       AdminNotes                                                                                                                       nvarchar                                                                                                                        
Complaints                                                                                                                       CreatedAt                                                                                                                        datetime2                                                                                                                       
Complaints                                                                                                                       ResolvedAt                                                                                                                       datetime2                                                                                                                       
Education                                                                                                                        EducationId                                                                                                                      int                                                                                                                             
Education                                                                                                                        UserId                                                                                                                           int                                                                                                                             
Education                                                                                                                        Degree                                                                                                                           nvarchar                                                                                                                        
Education                                                                                                                        Institution                                                                                                                      nvarchar                                                                                                                        
Education                                                                                                                        FieldOfStudy                                                                                                                     nvarchar                                                                                                                        
Education                                                                                                                        StartYear                                                                                                                        int                                                                                                                             
Education                                                                                                                        EndYear                                                                                                                          int                                                                                                                             
Education                                                                                                                        Grade                                                                                                                            nvarchar                                                                                                                        
Education                                                                                                                        Description                                                                                                                      nvarchar                                                                                                                        
Feedback                                                                                                                         FeedbackId                                                                                                                       int                                                                                                                             
Feedback                                                                                                                         UserId                                                                                                                           int                                                                                                                             
Feedback                                                                                                                         CompanyId                                                                                                                        int                                                                                                                             
Feedback                                                                                                                         Rating                                                                                                                           tinyint                                                                                                                         
Feedback                                                                                                                         Review                                                                                                                           nvarchar                                                                                                                        
Feedback                                                                                                                         IsAnonymous                                                                                                                      bit                                                                                                                             
Feedback                                                                                                                         CreatedAt                                                                                                                        datetime2                                                                                                                       
Interviews                                                                                                                       InterviewId                                                                                                                      int                                                                                                                             
Interviews                                                                                                                       ApplicationId                                                                                                                    int                                                                                                                             
Interviews                                                                                                                       ScheduledByUserId                                                                                                                int                                                                                                                             
Interviews                                                                                                                       ScheduledAt                                                                                                                      datetime2                                                                                                                       
Interviews                                                                                                                       Mode                                                                                                                             nvarchar                                                                                                                        
Interviews                                                                                                                       MeetingLink                                                                                                                      nvarchar                                                                                                                        
Interviews                                                                                                                       Venue                                                                                                                            nvarchar                                                                                                                        
Interviews                                                                                                                       Status                                                                                                                           nvarchar                                                                                                                        
Interviews                                                                                                                       Feedback                                                                                                                         nvarchar                                                                                                                        
Interviews                                                                                                                       CreatedAt                                                                                                                        datetime2                                                                                                                       
Interviews                                                                                                                       UpdatedAt                                                                                                                        datetime2                                                                                                                       
JobListings                                                                                                                      JobId                                                                                                                            int                                                                                                                             
JobListings                                                                                                                      PostedByUserId                                                                                                                   int                                                                                                                             
JobListings                                                                                                                      CompanyId                                                                                                                        int                                                                                                                             
JobListings                                                                                                                      Title                                                                                                                            nvarchar                                                                                                                        
JobListings                                                                                                                      Description                                                                                                                      nvarchar                                                                                                                        
JobListings                                                                                                                      Location                                                                                                                         nvarchar                                                                                                                        
JobListings                                                                                                                      JobType                                                                                                                          nvarchar                                                                                                                        
JobListings                                                                                                                      SalaryMin                                                                                                                        decimal                                                                                                                         
JobListings                                                                                                                      SalaryMax                                                                                                                        decimal                                                                                                                         
JobListings                                                                                                                      ExperienceRequired                                                                                                               int                                                                                                                             
JobListings                                                                                                                      Status                                                                                                                           nvarchar                                                                                                                        
JobListings                                                                                                                      TotalApplications                                                                                                                int                                                                                                                             
JobListings                                                                                                                      ExpiryDate                                                                                                                       datetime2                                                                                                                       
JobListings                                                                                                                      PostedDate                                                                                                                       datetime2                                                                                                                       
